,tarih,id,ürün,ürün besin değeri,ürün kategorisi,ürün üretim yeri,market,şehir,Price,yillik tufe,aylık tufe
0,2021-01-01,0,kıyma,120,et,Yurt içi,M,A,7.4392,14.97,1.68
1,2021-01-01,1,tavuk,103,et,Yurt içi,M,A,7.4392,14.97,1.68
2,2021-01-01,2,hindi,160,et,Yurt içi,M,A,7.4392,14.97,1.68
3,2021-01-01,3,Bakla-kuru,354,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
4,2021-01-01,4,Bakla-taze,72,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
5,2021-01-01,5,Bamya,42,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
6,2021-01-01,6,Barbunya-kuru,346,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
7,2021-01-01,7,Bezelye-taze,47,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
8,2021-01-01,8,Biber-yeşil,25,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
9,2021-01-01,9,Brüksel laha.,47,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
10,2021-01-01,10,Domates,25,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
11,2021-01-01,11,Enginar,63,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
12,2021-01-01,12,Fasulye-kuru,333,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
13,2021-01-01,13,Fasulye-taze,35,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
14,2021-01-01,14,Havuç,42,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
15,2021-01-01,15,Salatalık,8,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
16,2021-01-01,16,Ispanak,25,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
17,2021-01-01,17,Kabak,19,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
18,2021-01-01,18,Karnabahar,25,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
19,2021-01-01,19,Kereviz-baş,38,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
20,2021-01-01,20,Kırmızı-pancar,42,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
21,2021-01-01,21,Lahana,24,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
22,2021-01-01,22,Mantar,16,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
23,2021-01-01,23,Marul,15,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
24,2021-01-01,24,Mercimek-kuru,351,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
25,2021-01-01,25,Nohut,376,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
26,2021-01-01,26,Pancar,42,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
27,2021-01-01,27,Patates,83,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
28,2021-01-01,28,Patlıcan,24,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
29,2021-01-01,29,Pazı,27,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
30,2021-01-01,30,Pırasa,52,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
